Id;Label;AltLabel;color
114;Hardy Thomas;Node_alt_114;#ED6869
115;Hawkins Paula;Node_alt_115;#79C074
116;Hemingway Ernest;Node_alt_116;#ED6869
117;Hesse Herman;Node_alt_117;#ED6869
118;Highsmith Patricia;Node_alt_118;#79C074
119;Homes Amy;Node_alt_119;#79C074
120;Honeyman Gail;Node_alt_120;#79C074
121;Hornby Nick;Node_alt_121;#ED6869
122;Hosseini Khaled;Node_alt_122;#ED6869
123;Houellebecq Michel;Node_alt_123;#ED6869
124;Howard Elizabeth Jane;Node_alt_124;#79C074
125;Hrabal Bohumil;Node_alt_125;#ED6869
126;Hugo Victor;Node_alt_126;#ED6869
127;Huxley Aldous;Node_alt_127;#ED6869
128;Huysmans Joris Karl;Node_alt_128;#ED6869
129;Irving John;Node_alt_129;#ED6869
130;Isaacson Walter;Node_alt_130;#ED6869
131;Isherwood Christopher;Node_alt_131;#ED6869
132;Ishiguro Kazuo;Node_alt_132;#ED6869
133;Jackson Shirley;Node_alt_133;#79C074
134;James Henry;Node_alt_134;#ED6869
135;Jansson Tove;Node_alt_135;#79C074
136;Jerome Jerome;Node_alt_136;#ED6869
137;St John Mandel Emily;Node_alt_137;#79C074
138;Johnson Adam;Node_alt_138;#ED6869
139;Joyce James;Node_alt_139;#ED6869
140;Kafka Franz;Node_alt_140;#ED6869
141;Kanehara Hitomi;Node_alt_141;#79C074
142;Kang Han;Node_alt_142;#79C074
143;Karr Mary;Node_alt_143;#79C074
144;Kawabata Yasunari;Node_alt_144;#ED6869
145;Kawamura Genki;Node_alt_145;#ED6869
146;Keneally Thomas;Node_alt_146;#ED6869
147;Kerouac Jack;Node_alt_147;#ED6869
148;King Stephen;Node_alt_148;#ED6869
149;Kinsella Sophie;Node_alt_149;#79C074
150;Kipling Rudyard;Node_alt_150;#ED6869
151;Knausgård Karl Ove;Node_alt_151;#ED6869
152;Krakauer Jon;Node_alt_152;#ED6869
153;Kristof Ágota;Node_alt_153;#79C074
154;Kundera Milan;Node_alt_154;#ED6869
155;Laclos Pierre;Node_alt_155;#ED6869
156;Lagercrantz David;Node_alt_156;#ED6869
157;Lagioia Nicola;Node_alt_157;#ED6869
158;Lahiri Jhumpa;Node_alt_158;#79C074
159;Laing Olivia;Node_alt_159;#79C074
160;Lampedusa Giuseppe Tomasi;Node_alt_160;#ED6869
161;Larsson Stieg;Node_alt_161;#ED6869
162;Laurain Antoine;Node_alt_162;#ED6869
163;Leavitt David;Node_alt_163;#ED6869
164;Lee Harper;Node_alt_164;#79C074
165;Lehane Dennis;Node_alt_165;#ED6869
166;Lethem Jonathan;Node_alt_166;#ED6869
167;Levin Ira;Node_alt_167;#ED6869
168;Levi Primo;Node_alt_168;#ED6869
169;Lewis Clive Staples;Node_alt_169;#ED6869
170;Lewis Roy;Node_alt_170;#ED6869
171;Lispector Clarice;Node_alt_171;#79C074
172;London Jack;Node_alt_172;#ED6869
173;Lovecraft HP;Node_alt_173;#ED6869
174;Lowry Malcolm;Node_alt_174;#ED6869
175;Malamud Bernard;Node_alt_175;#ED6869
176;Malzieu Mathias;Node_alt_176;#ED6869
177;Mandela Nelson;Node_alt_177;#ED6869
178;Mann Thomas;Node_alt_178;#ED6869
179;Márai Sándor;Node_alt_179;#ED6869
180;Marías Javier;Node_alt_180;#ED6869
181;Marone Lorenzo;Node_alt_181;#ED6869
182;Márquez Gabriel García;Node_alt_182;#ED6869
183;Martel Yann;Node_alt_183;#ED6869
184;Martin George;Node_alt_184;#ED6869
185;McCarthy Cormac;Node_alt_185;#ED6869
186;McCullers Carson;Node_alt_186;#79C074
187;McEwan Ian;Node_alt_187;#ED6869
188;McInerney Jay;Node_alt_188;#ED6869
189;Melville Herman;Node_alt_189;#ED6869
190;Mercier Pascal;Node_alt_190;#ED6869
191;Miller Henry;Node_alt_191;#ED6869
192;Mishima Yukio;Node_alt_192;#ED6869
193;Mitchell David;Node_alt_193;#ED6869
194;Mitford Nancy;Node_alt_194;#79C074
195;Modiano Patrick;Node_alt_195;#ED6869
196;Morante Elsa;Node_alt_196;#79C074
197;Moravia Alberto;Node_alt_197;#ED6869
198;Morrison Toni;Node_alt_198;#79C074
199;Moshfegh Ottessa;Node_alt_199;#79C074
200;Moyes Jojo;Node_alt_200;#79C074
201;Munro Alice;Node_alt_201;#79C074
202;Murakami Haruki;Node_alt_202;#ED6869
203;Murgia Michela;Node_alt_203;#79C074
204;Musil Robert;Node_alt_204;#ED6869
205;Nabokov Vladimir;Node_alt_205;#ED6869
206;Nelson Blake;Node_alt_206;#ED6869
207;Némirovsky Irène;Node_alt_207;#79C074
208;Adichie Ngozi Chimamanda;Node_alt_208;#79C074
209;Nicholls David;Node_alt_209;#ED6869
210;Niffenegger Audrey;Node_alt_210;#79C074
211;Nin Anaïs;Node_alt_211;#79C074
212;Nothomb Amélie;Node_alt_212;#79C074
213;Oates Joyce Carol;Node_alt_213;#79C074
214;O'Brien Edna;Node_alt_214;#79C074
215;O'Connor Flannery;Node_alt_215;#79C074
216;O'Hagan Andrew;Node_alt_216;#ED6869
217;Ortese Anna Maria;Node_alt_217;#79C074
218;Orwell George;Node_alt_218;#ED6869
219;Oz Amos;Node_alt_219;#ED6869
220;Paasilinna Arto;Node_alt_220;#ED6869
221;Palacio RJ;Node_alt_221;#79C074
222;Palahniuk Chuck;Node_alt_222;#ED6869
223;Pasternak Boris;Node_alt_223;#ED6869
224;Pavese Cesare;Node_alt_224;#ED6869
225;Perutz Leo;Node_alt_225;#ED6869
226;Pessoa Fernando;Node_alt_226;#ED6869
227;Pirandello Luigi;Node_alt_227;#ED6869
228;Pirsig Robert;Node_alt_228;#ED6869
229;Plath Sylvia;Node_alt_229;#79C074
230;Poe Edgar Allan;Node_alt_230;#ED6869
231;Pollan Michael;Node_alt_231;#ED6869
232;Proulx Annie;Node_alt_232;#79C074
233;Proust Marcel;Node_alt_233;#ED6869
234;Punke Michael;Node_alt_234;#ED6869
235;Pynchon Thomas;Node_alt_235;#ED6869
236;Radiguet Raymond;Node_alt_236;#ED6869
237;Redfield James;Node_alt_237;#ED6869
238;Remarque Erich Maria;Node_alt_238;#ED6869
239;Richler Mordecai;Node_alt_239;#ED6869
240;Robinson Marilynne;Node_alt_240;#79C074
