Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
626;Tanizaki Jun'ichirō;Node_alt_626;0;1938;4;1;0;1
627;Tanpınar Ahmet Hamdi;Node_alt_627;0;1951;4;1;0;0
628;Tawada Yoko;Node_alt_628;1;2014;4;1;0;0
629;Teo Sharlene;Node_alt_629;1;2018;4;0;0;0
630;Thiong'o Ngũgĩ wa;Node_alt_630;0;1992;5;1;0;0
631;Thúy Kim;Node_alt_631;1;2009;4;1;0;0
632;Toews Miriam;Node_alt_632;1;2014;2;0;0;0
633;Travers PL;Node_alt_633;1;1934;6;0;0;0
634;Tsiolkas Christos;Node_alt_634;0;2008;6;0;0;0
635;Tutuola Amos;Node_alt_635;0;1954;5;0;0;0
636;Ung Loung;Node_alt_636;1;2000;4;0;0;0
637;van Niekerk Marlene;Node_alt_637;1;2004;5;1;0;0
638;Vásquez Juan Gabriel;Node_alt_638;0;2009;3;1;0;0
639;Verga Giovanni;Node_alt_639;0;1881;1;1;0;0
640;Viggers Karen;Node_alt_640;1;2011;6;0;0;0
641;von Arnim Elizabeth;Node_alt_641;1;1916;6;0;0;0
642;von Kleist Heinrich;Node_alt_642;0;1809;1;1;0;0
643;Wainaina Binyavanga;Node_alt_643;0;2011;5;0;0;0
644;Wamariya Clemantine;Node_alt_644;1;2018;5;0;0;0
645;Wataya Risa;Node_alt_645;1;2003;4;1;0;0
646;West Morris;Node_alt_646;0;1966;6;0;0;0
647;White Patrick;Node_alt_647;0;1985;6;0;1;1
648;Wilder Thornton;Node_alt_648;0;1927;2;0;0;1
649;Winton Tim;Node_alt_649;0;2004;6;0;0;0
650;Witting Amy;Node_alt_650;1;1990;6;0;0;0
651;Wolf Christa;Node_alt_651;1;1980;1;1;0;0
652;Xiaolong Qiu;Node_alt_652;0;2005;4;0;0;0
653;Xilonen Aura;Node_alt_653;1;2015;3;1;0;0
654;Xingjian Gao;Node_alt_654;0;1988;4;1;1;1
655;Xueqin Cao;Node_alt_655;0;1792;4;1;0;0
656;Yan Mo;Node_alt_656;0;1996;4;1;1;1
657;Yehoshua Abraham;Node_alt_657;0;2004;4;1;0;0
658;Yousafzai Malala;Node_alt_658;1;2013;4;0;0;0
659;Zail Suzy;Node_alt_659;1;2012;6;0;0;0
660;Zusak Markus;Node_alt_660;0;2004;6;0;0;0
661;Zweig Stefan;Node_alt_661;0;1941;1;1;0;0
662;Achaari Mohammed;Node_alt_662;0;2010;5;1;0;0
663;Adams Douglas;Node_alt_663;0;1979;1;0;0;1
664;Adams Richard;Node_alt_664;0;1975;1;0;0;1
665;Ahmad Jamil;Node_alt_665;0;2011;4;0;0;1
666;Aira César;Node_alt_666;0;2002;3;1;0;0
667;El Akkad Omar;Node_alt_667;0;2017;5;0;0;0
668;Akutagawa Ryunosuke;Node_alt_668;0;1915;4;1;0;0
669;Altan Ahmet;Node_alt_669;0;2007;4;1;0;0
670;Alvarez Julia;Node_alt_670;1;1994;3;0;0;0
671;Amis Kingsley;Node_alt_671;0;1981;1;0;0;1
672;Anappara Deepa;Node_alt_672;1;2020;4;0;0;0
673;Andrews VC;Node_alt_673;1;1980;2;0;0;0
674;Angelou Maya;Node_alt_674;1;1982;2;0;0;0
675;Ansay A. Manette;Node_alt_675;1;1994;2;0;0;0
676;Archer Jeffrey;Node_alt_676;0;1989;1;0;0;1
677;de Assis Machado Joaquim Maria;Node_alt_677;0;1890;3;1;0;0
678;Bach Richard;Node_alt_678;0;1977;2;0;0;0
679;Baldwin James;Node_alt_679;0;1957;2;0;0;0
680;Banville John;Node_alt_680;0;1997;1;0;0;1
681;Barker Pat;Node_alt_681;1;2007;1;0;0;1
682;Barnes Djuna;Node_alt_682;1;1936;2;0;0;0
683;Barrie James Matthew;Node_alt_683;0;1911;1;0;0;0
684;Beatty Paul;Node_alt_684;0;2008;2;0;0;1
685;Benchley Peter;Node_alt_685;0;1974;2;0;0;0
686;Benedetti Mario;Node_alt_686;0;1960;3;1;0;0
687;Binchy Maeve;Node_alt_687;1;1996;1;0;0;1
688;Blatty William;Node_alt_688;0;1971;2;0;0;0
689;Bloch Robert;Node_alt_689;0;1953;2;0;0;0
690;Blyton Enid;Node_alt_690;1;1948;1;0;0;0
691;Braddon Mary;Node_alt_691;1;1877;1;0;0;0
692;Bradley Marion;Node_alt_692;1;1964;2;0;0;0
693;Brink Andre;Node_alt_693;0;1989;5;0;0;0
694;Bromfield Louis;Node_alt_694;0;1932;2;0;0;1
695;Brontë Anne;Node_alt_695;1;1848;1;0;0;0
696;Brookner Anita;Node_alt_696;1;1995;1;0;0;1
697;Brown Fredric;Node_alt_697;0;1955;2;0;0;0
698;Buarque Chico;Node_alt_698;0;2014;3;1;0;0
699;Buchan John;Node_alt_699;0;1916;1;0;0;0
700;Buck Pearl S.;Node_alt_700;1;1937;2;0;1;1
701;Burney Frances;Node_alt_701;1;1794;1;0;0;0
702;Burns Anna;Node_alt_702;1;2018;1;0;0;1
703;Burroughs Edgar;Node_alt_703;0;1914;2;0;0;0
704;Butler Samuel;Node_alt_704;0;1872;1;0;0;0
705;Buzzati Dino;Node_alt_705;0;1940;1;1;0;0
706;Campbell John;Node_alt_706;0;1944;2;0;0;0
707;Catton Eleanor;Node_alt_707;1;2013;6;0;0;1
708;Celine Louis Ferdinand;Node_alt_708;0;1947;1;1;0;0
709;Charriere Henri;Node_alt_709;0;1971;1;1;0;0
710;Chopin Kate;Node_alt_710;1;1895;2;0;0;0
711;Clark Mary;Node_alt_711;1;1980;2;0;0;0
712;Clavell James;Node_alt_712;0;1981;6;0;0;0
713;Cleland John;Node_alt_713;0;1748;1;0;0;0
714;Collins Suzanne;Node_alt_714;1;2009;2;0;0;0
715;Collins Wilkie;Node_alt_715;0;1864;1;0;0;1
716;Dazai Osamu;Node_alt_716;0;1948;4;1;0;0
717;Defoe Daniel;Node_alt_717;0;1721;1;0;0;1
